MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924795,0.1180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,28.2830000,-0.1062278,0.2483112,-0.1187186
MsgID.LOCAL_VELOCITY,28.2830000,-0.0027372,-0.0040467,-0.0492045
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924801,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0600000
MsgID.LOCAL_POSITION,28.5340000,-0.0362837,0.4183235,-0.1193311
MsgID.LOCAL_VELOCITY,28.5340000,-0.0010251,-0.0078924,-0.0601654
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924790,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.0300000
MsgID.LOCAL_POSITION,28.7840000,-0.1560494,0.3154043,-0.1225742
MsgID.LOCAL_VELOCITY,28.7840000,-0.0059932,-0.0230743,-0.0394645
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924808,0.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,0.0000000
MsgID.LOCAL_POSITION,29.0340000,0.0425605,0.2583148,-0.1230547
MsgID.LOCAL_VELOCITY,29.0340000,0.0007852,-0.0275511,-0.0066521
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924804,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.0000000
MsgID.LOCAL_POSITION,29.2840000,0.0006604,0.2524689,-0.1220606
MsgID.LOCAL_VELOCITY,29.2840000,-0.0060875,-0.0190328,-0.0048535
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924788,0.1870000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-1.0400000
MsgID.LOCAL_POSITION,29.5340000,-0.1758680,0.2481118,-0.1878035
MsgID.LOCAL_VELOCITY,29.5340000,-0.0148458,-0.0125163,-1.0442091
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924803,0.7210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.1700000
MsgID.LOCAL_POSITION,29.7840000,-0.0093046,0.2457318,-0.7217857
MsgID.LOCAL_VELOCITY,29.7840000,0.0002835,-0.0004408,-3.1723046
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924812,1.6720000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-4.2100000
MsgID.LOCAL_POSITION,30.0340000,0.0912620,0.2787400,-1.6722751
MsgID.LOCAL_VELOCITY,30.0340000,-0.0128330,0.0010372,-4.2151699
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924808,2.7680000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,-4.5000000
MsgID.LOCAL_POSITION,30.2840000,0.0378514,0.3346506,-2.7688630
MsgID.LOCAL_VELOCITY,30.2840000,-0.0353473,-0.0027491,-4.5023637
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924800,3.9060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,-4.5700000
MsgID.LOCAL_POSITION,30.5340000,-0.0471273,0.2186795,-3.9068019
MsgID.LOCAL_VELOCITY,30.5340000,-0.0363815,-0.0087401,-4.5789466
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924799,5.0180000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-3.6700000
MsgID.LOCAL_POSITION,30.7850000,-0.0583777,0.3499582,-5.0186954
MsgID.LOCAL_VELOCITY,30.7850000,-0.0276733,-0.0045525,-3.6760731
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924804,5.6080000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-1.0700000
MsgID.LOCAL_POSITION,31.0350000,-0.0030479,0.4038521,-5.6087837
MsgID.LOCAL_VELOCITY,31.0350000,-0.0259967,-0.0042767,-1.0760764
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924807,5.5780000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1200000,-0.0400000,1.1500000
MsgID.LOCAL_POSITION,31.2850000,0.0354076,0.3512463,-5.5786099
MsgID.LOCAL_VELOCITY,31.2850000,-0.1240127,-0.0405287,1.1599206
MsgID.GLOBAL_POSITION,0.0000000,-122.3974522,37.7924779,5.1750000
MsgID.LOCAL_VELOCITY,0.0000000,-0.7400000,-0.2300000,1.9300000
MsgID.LOCAL_POSITION,31.5350000,-0.2743390,0.0968250,-5.1753516
MsgID.LOCAL_VELOCITY,31.5350000,-0.7414274,-0.2308572,1.9378010
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924763,4.8580000
MsgID.LOCAL_VELOCITY,0.0000000,-0.9200000,0.2100000,0.3900000
MsgID.LOCAL_POSITION,31.7850000,-0.4559704,0.1369067,-4.8586788
MsgID.LOCAL_VELOCITY,31.7850000,-0.9230993,0.2150405,0.3922807
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974470,37.7924756,4.9440000
MsgID.LOCAL_VELOCITY,0.0000000,0.4400000,1.2600000,-0.5200000
MsgID.LOCAL_POSITION,32.0350000,-0.5320750,0.5540354,-4.9442501
MsgID.LOCAL_VELOCITY,32.0350000,0.4421683,1.2660480,-0.5274850
MsgID.GLOBAL_POSITION,0.0000000,-122.3974437,37.7924770,5.0350000
MsgID.LOCAL_VELOCITY,0.0000000,1.2600000,1.7100000,0.0600000
MsgID.LOCAL_POSITION,32.2850000,-0.3752758,0.8498776,-5.0355325
MsgID.LOCAL_VELOCITY,32.2850000,1.2632257,1.7150042,0.0630967
MsgID.GLOBAL_POSITION,0.0000000,-122.3974403,37.7924816,4.9970000
MsgID.LOCAL_VELOCITY,0.0000000,1.8400000,1.8700000,0.3400000
MsgID.LOCAL_POSITION,32.5350000,0.1281163,1.1532168,-4.9979682
MsgID.LOCAL_VELOCITY,32.5350000,1.8489641,1.8708506,0.3452260
MsgID.GLOBAL_POSITION,0.0000000,-122.3974345,37.7924849,4.9660000
MsgID.LOCAL_VELOCITY,0.0000000,1.7400000,1.6500000,0.0700000
MsgID.LOCAL_POSITION,32.7850000,0.4928256,1.6666340,-4.9663072
MsgID.LOCAL_VELOCITY,32.7850000,1.7423067,1.6577554,0.0752672
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974309,37.7924889,4.9760000
MsgID.LOCAL_VELOCITY,0.0000000,1.4100000,1.3500000,-0.0500000
